question,filename,answer,source_image
1,GI_Gallbladder.jpeg,"Gallbladder - 2 points",ctgastrointestinal4.jpeg
2,GI_Azygos_vein.jpeg,"Azygos vein - 2 points",ctgastrointestinal5.jpeg
3,GI_Hepatic_flexure_of_large_bowel.jpeg,"Hepatic flexure of large bowel - 2 points",ctgastrointestinal7.jpeg
4,GI_Second_liver_segment.jpeg,"Second liver segment - 2 points",ctgastrointestinal11.jpeg
5,GI_Intrahepatic_portal_vein.jpeg,"Intrahepatic portal vein - 2 points",ctgastrointestinal12.jpeg
6,GI_Ileocaecal_valve.jpeg,"Ileocaecal valve - 2 points",ctgastrointestinal15.jpeg
7,GI_Descending_portion_of_duodenum.jpeg,"Descending portion of duodenum - 2 points",ctgastrointestinal18.jpeg
8,GI_Right_transversus_abdominis.jpeg,"Right transversus abdominis - 2 points",ctgastrointestinal20.jpeg
9,GI_Crus_Of_Right_Hemidiaphragm.jpeg,"Crus Of Right Hemidiaphragm - 2 points",ctgastrointestinal21.jpeg
10,GI_Right_twelfth_rib.jpeg,"Right twelfth rib - 2 points",ctgastrointestinal22.jpeg
11,GI_Superior_mesenteric_vein.jpeg,"Superior mesenteric vein - 2 points",ctgastrointestinal25.jpeg
12,GI_Posterior_branch_of_right_portal_vein.jpeg,"Posterior branch of right portal vein - 2 points",ctgastrointestinal28.jpeg
13,GI_Third_liver_segment.jpeg,"Third liver segment - 2 points",ctgastrointestinal29.jpeg
14,GI_Crus_Of_Right_Hemidiaphragm_2.jpeg,"Crus Of Right Hemidiaphragm - 2 points",ctgastrointestinal31.jpeg
15,GI_Body_of_stomach.jpeg,"Body of stomach - 2 points",ctgastrointestinal33.jpeg
16,GI_Rectum.jpeg,"Rectum - 2 points",ctgastrointestinal40.jpeg
17,GI_Superior_mesenteric_artery.jpeg,"Superior mesenteric artery - 2 points",ctgastrointestinal43.jpeg
18,GI_Left_gastric_artery.jpeg,"Left gastric artery - 2 points",ctgastrointestinal45.jpeg
19,GI_Left_renal_vein.jpeg,"Left renal vein - 2 points",ctgastrointestinal46.jpeg
20,GI_Neck_Of_Pancreas.jpeg,"Neck Of Pancreas - 2 points",ctgastrointestinal48.jpeg
21,GI_Spleen.jpeg,"Spleen - 2 points",ctgastrointestinal52.jpeg
22,GI_Descending_portion_of_duodenum_2.jpeg,"Descending portion of duodenum - 2 points",ctgastrointestinal54.jpeg
23,GI_Posterior_branch_of_left_internal_iliac_artery.jpeg,"Posterior branch of left internal iliac artery - 2 points",ctgastrointestinal58.jpeg
24,GI_Superior_mesenteric_artery_2.jpeg,"Superior mesenteric artery - 2 points",ctgastrointestinal59.jpeg
25,GI_Left_renal_vein_2.jpeg,"Left renal vein - 2 points",ctgastrointestinal67.jpeg
26,GI_Superior_mesenteric_artery_3.jpeg,"Superior mesenteric artery - 2 points",ctgastrointestinal71.jpeg
27,GI_Portal_Venous_Confluence.jpeg,"Portal Venous Confluence - 2 points",ctgastrointestinal75.jpeg
28,GI_Anterior_branch_of_right_portal_vein.jpeg,"Anterior branch of right portal vein - 2 points",ctgastrointestinal76.jpeg
29,GI_Body_Of_Gallbladder.jpeg,"Body Of Gallbladder - 2 points",mrigastrointestinal1.jpeg
30,GI_Fundus_of_the_stomach.jpeg,"Fundus of the stomach - 2 points",mrigastrointestinal3.jpeg
31,GI_Superior_vena_cava.jpeg,"Superior vena cava - 2 points",MRIGastrointestinal4.jpeg
32,GI_Pyloric_antrum_of_the_stomach.jpeg,"Pyloric antrum of the stomach - 2 points",mrigastrointestinal6.jpeg
33,GI_Common_hepatic_duct.jpeg,"Common hepatic duct - 2 points",mrigastrointestinal7.jpeg
34,GI_Anal_canal.jpeg,"Anal canal - 2 points",mrigastrointestinal10.jpeg
35,GI_Linea_alba.jpeg,"Linea alba - 2 points",mrigastrointestinal11.jpeg
36,GI_Right_ischiorectal_fossa.jpeg,"Right ischiorectal fossa - 2 points",mrigastrointestinal12.jpeg
37,GI_Anal_canal_2.jpeg,"Anal canal - 2 points",mrigastrointestinal14.jpeg
38,GI_Descending_portion_of_duodenum_3.jpeg,"Descending portion of duodenum - 2 points",mrigastrointestinal18.jpeg
39,GI_Main_pancreatic_duct.jpg,"Main pancreatic duct - 2 points",MRIGastrointestinal19.jpg
40,GI_Riedel_lobe_of_liver.jpeg,"Riedel lobe of liver - 2 points",mrigastrointestinal21.jpeg
41,GI_Fundus_of_gallbladder.jpeg,"Fundus of gallbladder - 2 points",mrigastrointestinal24.jpeg
42,GI_Abdominal_aorta.jpeg,"Abdominal aorta - 2 points",mrigastrointestinal26.jpeg
43,GI_Fundus_of_the_stomach_2.jpeg,"Fundus of the stomach - 2 points",mrigastrointestinal27.jpeg
44,GI_Inferior_vena_cava.jpeg,"Inferior vena cava - 2 points",mrigastrointestinal28.jpeg
45,GI_Cerebrospinal_Fluid_In_The_Spinal_Canal.jpeg,"Cerebrospinal Fluid In The Spinal Canal - 2 points",mrigastrointestinal37.jpeg
